,uniprot_id,ev_association_score
222,Q9UPQ0,1.485819704
223,Q4KMZ1,1.238806037
224,Q8TDH9,1.369566198
225,Q8TF30,1.443081921
226,Q9GZV4,1.329649781
227,Q9NYY3,11.11325878
228,P35637,1.300990569
229,Q96M02,2.450563008
230,Q8WYA0,1.993971188
231,O15049,1.413890679
232,O75340,2.084200544
233,Q86SQ0,1.596671219
234,P49916,1.283350388
235,Q5JY77,1.477610422
236,Q8N535,1.43464583
237,Q9NRE2,1.294861489
238,Q9UK58,1.759898007
