,ht_assay,ht_ratio,uniprot_ids,values,localization,symbol
0,A6NI79,1.763575085694579,A6NI79,0.8006377150813261,internal,CCDC69
1,O96013,1.1036460010301266,O96013,0.8216986322642907,internal,PAK4
2,Q86SQ0,1.5966712192866286,Q86SQ0,0.9130832355250549,internal,PHLDB2
3,Q9BT81,1.595474684257916,Q9BT81,0.9566217376731373,internal,SOX7
4,Q9P266,1.3689085128502396,Q9P266,0.9693975041305685,internal,JCAD
5,P53985,2.8776144112207414,P53985,0.8533199080584672,transmembrane,SLC16A1
6,Q16625,1.73578421817033,Q16625,0.8697012714809416,transmembrane,OCLN
