,uniprot_id,ev_association_score,tau_scores
159,B6A8C7,0.868323998,0.035714286
160,Q8N6Q1,0.656844002,0.035714286
161,Q86T26,1.149821749,0.035714286
162,O60235,1.030619226,0.035714286
163,P98073,0.944286668,0.035714286
164,Q9NRS4,1.36889661,0.035714286
165,O14836,1.162044853,0.035714286
166,P43489,0.505349647,0.035714286
167,P28908,0.015496009,0.035932808
168,Q07011,1.520985822,0.035714286
169,O14788,1.185751561,0.163984191
170,O75631,0.967431195,0.086818942
171,Q6UX27,0.967041673,0.170704279
172,Q7Z7D3,0.980968975,0.035714286
173,P55808,1.071643617,0.035714286
174,Q8WWF5,0.865788244,0.035714286
175,Q12836,0.798789593,0.035714286
