,uniprot_id,ev_association_score,tau_scores
153,Q05925,1.295927204,0.035714286
154,P19622,1.195487828,0.111773151
155,Q8IYW4,0.993649105,0.035714286
156,Q9H201,1.152721574,0.035714286
157,P58107,0.552584033,0.035714286
158,Q14674,0.710180277,0.035714286
159,Q96CN4,1.077815392,0.231394418
160,Q92817,1.353568295,0.035714286
161,A8MZ36,1.598588843,0.035714286
162,Q03828,1.480830777,0.035714286
163,Q9NQT5,1.118269491,0.240221483
164,P12104,0.830775374,0.173244392
165,Q0Z7S8,12.98239734,0.035714286
166,Q6ZTI6,0.938243972,0.035714286
167,Q6SJ93,1.16253221,0.017321533
168,Q6J272,1.312967782,0.035714286
169,A6NMN3,1.142272488,0.035714286
170,A6NE01,1.337131051,0.079129493
171,Q7L0X2,0.53091527,0.127665306
172,A6NMK8,1.480796033,0.035714286
173,Q8NA70,1.1272415,0.035714286
174,Q8N5Q1,0.655929965,0.035714286
175,Q96LP2,1.388799824,0.035714286
176,Q5T0W9,1.334838945,0.162738082
177,Q9BQN1,1.023851879,0.035714286
178,Q8NEG4,0.669381135,0.035714286
179,A6NDY2,0.624315009,0.035714286
180,Q6PCT2,3.591706379,0.035714286
181,O14526,0.47937506,0.076073471
182,Q86WN1,0.945943093,0.230388723
183,P07332,0.698022153,0.219120383
184,O43320,1.242110072,0.035714286
185,Q9UIM3,0.99165313,0.070027291
186,P55318,1.055008809,0.035714286
187,O15353,1.156385502,0.035714286
188,Q8IVH2,0.52307006,0.210216678
189,Q8N878,1.396206541,0.035714286
190,Q6ZUT3,0.865914424,0.035714286
191,A1L4K1,1.032598851,0.166256915
192,O95954,0.498740119,0.035714286
193,Q16595,0.87799304,0.137825832
194,Q2WGN9,0.853879776,0.035714286
195,O95166,1.082204788,0.227899651
196,Q6NT46,0.969114685,0.035714286
197,O76087,0.705269209,0.035714286
198,P23771,0.853954789,0.035714286
199,Q6ZN66,0.769769485,0.035714286
200,P30047,0.555461917,0.06304298
201,P35557,1.094389254,0.172507132
202,P55789,1.020586446,0.165372031
203,Q86UU5,0.958114722,0.035714286
204,P63211,0.698138843,0.035714286
205,Q08379,0.606380401,0.035714286
206,Q9NYA3,1.03582703,0.085490287
207,A6NN73,1.012597753,0.035714286
208,O60269,0.0551845,0.035714286
209,P36969,0.974329455,0.035714286
210,O75791,0.720273517,0.035714286
211,P08263,0.962068513,0.035714286
212,Q16772,0.986198866,0.035714286
213,Q9H4K7,1.465986135,0.137062058
214,Q9H1H1,24.62205992,0.035714286
215,O95843,0.98603171,0.035714286
216,P46952,0.456967711,0.220237325
217,O96004,0.901685546,0.035714286
218,Q9UJM8,1.149510949,0.035714286
219,P09105,0.903837844,0.035714286
220,P02008,0.967628572,0.035714286
221,Q5TGJ6,1.227074472,0.035714286
